Instrument,TRBC Activity Code,Return On Equity - Actual,"Return on Average Common Equity - %, TTM",year
BRKa.N,5440101010,6.3,6.70219537461153,FY-13
GE.N,5440101010,9.56,9.43970877110779,FY-13
MMM.N,5440101010,24.9,28.2017311429076,FY-13
TECK.N,5120108010,8.91,13.597510536889,FY-13
WMT.N,5430102010,19.3,21.2871907066511,FY-13
CLB.N,5220304024,48.34,48.8099764766539,FY-13
BN.N,5510202010,8.02,-7.09013914095584,FY-13
XOM.N,5010203010,17.37,17.2501722333068,FY-13
CU.TO,5910401010,11.16,17.5094053083906,FY-13
SAP.TO,5410202010,19.13,19.1311754769997,FY-13
IGM.TO,5510202010,14.63,13.8668264602974,FY-13
L.TO,5430102010,10.95,10.8645246770454,FY-13
WN.TO,5430102010,,1.37931034482759,FY-13
MDLZ.OQ,5410202010,11.63,11.6377073342883,FY-13
TA.TO,5910102010,5.31,6.6556352270638,FY-13
CP.TO,5240503010,7.38,15.6816111244306,FY-13
TRP.TO,5010303010,8.88,9.77309908243829,FY-13
IMO.TO,5010203010,16.8,17.0665801988759,FY-13
ENB.TO,5010303010,10.7,,FY-13
HKLD.SI,6010101010,6.457,13.8136490738836,FY-13
CNR.TO,5240503010,14.07,17.0154185022026,FY-13
SU.TO,5010201010,4.207,-0.394785540979562,FY-13
HON.OQ,5440101010,24.05,18.5942173479561,FY-13
ADM.N,5410202010,,13.6830911024459,FY-13
CSX.OQ,5240503011,13.433,13.4269729794072,FY-13
CPB.N,5410202010,103.86,100.362756952842,FY-13
FLR.N,5220102010,22.61,22.7117773477857,FY-13
PEG.N,5910401010,17.79,19.2395896197948,FY-13
ROK.N,5210203010,31.72,31.6479400749064,FY-13
UNP.N,5240503011,11.27,11.721657157033,FY-13
AES.N,5910101010,,17.3537871524449,FY-13
ATD.TO,5010203012,20.6,20.603339795259,FY-13
APD.N,5110101015,19.64,18.2148798700043,FY-13
AB.N,5510202011,9.56,9.85189657067212,FY-13
ABM.N,5220304010,,8.3374589907152,FY-13
AEP.OQ,5910101010,11.43,11.4295304829438,FY-13
ARE.TO,5220102010,9.7,10.5724123064537,FY-13
ARCH.N,5010101010,,2.1941085461696,FY-13
MERC.OQ,5130102013,,-42.3195512902076,FY-13
ACOx.TO,5910401010,6.77,14.9641505939625,FY-13
ATO.N,5910201010,9.65,9.06944005305034,FY-13
BKH.N,5910401010,7.335,7.23704945225026,FY-13
BLX.TO,5910101023,4.26,6.95524724297403,FY-13
MTZ.N,5220102014,13.4,14.5684127291372,FY-13
CMS.N,5910401010,11.82,7.79834580543521,FY-13
TFII.TO,5240503012,3.55,2.0683341912098,FY-13
CWT.N,5910301010,9.85,9.84818773578376,FY-13
CASY.OQ,5430102012,15.74,15.1372926115719,FY-13
CPSH.OQ,5210203010,17.55,7.73907677505695,FY-13
CPK.N,5910201011,7.58,9.5339097622381,FY-13
CTAS.OQ,5220304010,9.33,8.77126263761778,FY-13
CLH.N,5220301010,6.93,6.7596152924142,FY-13
CLF.N,5120102010,6.26,9.71280832925721,FY-13
CMC.N,5120102010,-12.18,-7.17033234799378,FY-13
CAG.N,5410202010,16.15,13.0909920371599,FY-13
ED.N,5910101010,8.11,8.70306311726074,FY-13
CXT.N,5210203010,13.95,16.4865157800353,FY-13
VVI.N,5220304026,,-25.1506437409763,FY-13
D.N,5910101010,18.27,11.8615370143919,FY-13
DCI.N,5220301011,23.15,23.1545562413822,FY-13
DUK.N,5910101010,7.21,4.97449576489307,FY-13
DY.N,5220102023,,1.48985325620433,FY-13
EMR.N,5210203010,23.6,21.5621082465798,FY-13
EMPa.TO,5430102010,10.1,10.7153004688166,FY-13
ETR.N,5910101010,15.7,15.0476247400399,FY-13
FMC.N,5110102010,26.84,24.8168544434901,FY-13
RUS.TO,5120102014,-7.78,-10.3761348897536,FY-13
ARG.TO,5120105012,0.0,0.045468976127689,FY-13
FI.N,5220304027,20.25,17.2597864768683,FY-13
FLO.N,5410202012,,19.2937695829607,FY-13
FTS.TO,5910101010,6.58,8.39878185606668,FY-13
FCX.N,5120105010,28.28,60.8182912154031,FY-13
GIS.N,5410202010,29.69,28.9450790528784,FY-13
NVRI.N,5220301012,9.65,10.3142329404455,FY-13
HE.N,5910101010,6.94,5.86421824434443,FY-13
HCSG.OQ,5220304016,,14.7845323250239,FY-13
HTLD.OQ,5240503012,15.49,15.6515860048453,FY-13
HSY.N,5410202010,65.34,83.9533320881368,FY-13
DINO.N,5010203011,2.62,0.449258516654187,FY-13
HRL.N,5410202016,16.14,16.6003902977594,FY-13
HUBB.N,5210203010,15.59,15.5487143910159,FY-13
JBHT.OQ,5240503012,22.16,23.2652720178981,FY-13
GCARSOA1.MX,5440101010,13.228,8.28951732050497,FY-13
IDA.N,5910101010,8.87,9.21188900396033,FY-13
ITW.N,5440101010,10.0,11.7612518260127,FY-13
IFF.N,5410202026,27.76,28.9432939377728,FY-13
WKC.N,5010203013,17.46,17.471593875195,FY-13
EME.N,5220102010,13.87,13.4503337731757,FY-13
J.N,5220304010,11.38,8.96903369048568,FY-13
K.N,5410202010,53.27,65.1612903225806,FY-13
KR.N,5430102010,21.98,2.9611447162074,FY-13
SR.N,5910201010,9.96,10.167327407095,FY-13
MDU.N,5910401010,-4.9,-4.67529606958538,FY-13
MGEE.OQ,5910101010,,10.4075828803558,FY-13
MRTN.OQ,5240503012,,6.15111776628248,FY-13
MKC.N,5410202010,,22.3098381997396,FY-13
MGRC.OQ,5220304018,12.88,12.8843558981933,FY-13
