Instrument,TRBC Activity Code,Return On Equity - Actual,"Return on Average Common Equity - %, TTM",year
BRKa.N,5440101010,7.15,8.41085172356077,FY-10
GE.N,5440101010,13.42,12.198075702402,FY-10
MMM.N,5440101010,26.22,26.9374147598121,FY-10
TECK.N,5120108010,8.552,5.96714716728126,FY-10
WMT.N,5430102010,23.024,22.9543946145823,FY-10
CLB.N,5220304024,116.0,119.995112916617,FY-10
BN.N,5510202010,6.75,7.17049264895538,FY-10
XOM.N,5010203010,23.34,28.0273153916049,FY-10
CU.TO,5910401010,16.1,16.1194958767699,FY-10
SAP.TO,5410202010,23.15,21.8490995289886,FY-10
IGM.TO,5510202010,17.34,17.58859162484,FY-10
L.TO,5430102010,11.2,10.2044101078384,FY-10
WN.TO,5430102010,,9.05652447993276,FY-10
MDLZ.OQ,5410202010,7.41,4.67900374853689,FY-10
TA.TO,5910102010,3.758,-24.878640776699,FY-10
CP.TO,5240503010,15.31,9.93227990970655,FY-10
TRP.TO,5010303010,7.89,8.31173817064977,FY-10
IMO.TO,5010203010,24.88,25.3619772375244,FY-10
ENB.TO,5010303010,18.91,10.511692521417,FY-10
HKLD.SI,6010101010,3.054,5.65379218727278,FY-10
CNR.TO,5240503010,22.64,24.7027375795004,FY-10
SU.TO,5010201010,12.57,7.04234402107563,FY-10
HON.OQ,5440101010,29.84,24.6078802405282,FY-10
ADM.N,5410202010,,7.4531804753774,FY-10
CSX.OQ,5240503011,20.91,21.1981566820277,FY-10
CPB.N,5410202010,79.32,65.1536643026005,FY-10
FLR.N,5220102010,21.41,13.5473413272137,FY-10
PEG.N,5910401010,11.74,12.1140142517815,FY-10
ROK.N,5210203010,36.34,34.039484359506,FY-10
UNP.N,5240503011,20.51,20.5070862046548,FY-10
AES.N,5910101010,26.19,-18.2596291012839,FY-10
ATD.TO,5010203012,21.5,21.2490493943947,FY-10
APD.N,5110101015,17.29,14.8557987469765,FY-10
AB.N,5510202011,3.36,3.20658578801759,FY-10
ABM.N,5220304010,,7.61934149879365,FY-10
AEP.OQ,5910101010,10.01,8.42112303936323,FY-10
ARE.TO,5220102010,14.53,15.0745753986178,FY-10
ARCH.N,5010101010,,-22.9823771295215,FY-10
MERC.OQ,5130102013,-4.08,-4.01695646203665,FY-10
ACOx.TO,5910401010,16.42,16.3247297595411,FY-10
ATO.N,5910201010,9.42,9.30927927716365,FY-10
BKH.N,5910401010,7.55,7.24902686288442,FY-10
BLX.TO,5910101023,-2.83,-2.75422672185926,FY-10
MTZ.N,5220102014,14.69,9.50329281969302,FY-10
CMS.N,5910401010,13.4,12.0540019286403,FY-10
TFII.TO,5240503012,20.38,21.9592582647079,FY-10
CWT.N,5910301010,11.92,10.5740838793297,FY-10
CASY.OQ,5430102012,20.5,18.8850929756201,FY-10
CPSH.OQ,5210203010,17.55,-18.6361092339978,FY-10
CPK.N,5910201011,,11.606062190125,FY-10
CTAS.OQ,5220304010,14.53,14.4470372598244,FY-10
