Instrument,TRBC Activity Code,Return On Equity - Actual,"Return on Average Common Equity - %, TTM",year
BRKa.N,5440101010,7.98,11.53208350789,FY-15
GE.N,5440101010,19.44,19.7799778040058,FY-15
MMM.N,5440101010,31.05,37.7407168524832,FY-15
TECK.N,5120108010,22.08,,FY-15
WMT.N,5430102010,19.72,20.3881725457874,FY-15
CLB.N,5220304024,191.43,180.782062860598,FY-15
BN.N,5510202010,10.47,16.7364016736402,FY-15
XOM.N,5010203010,33.35,34.4728062952556,FY-15
CU.TO,5910401010,13.63,17.373720699901,FY-15
SAP.TO,5410202010,17.58,18.2857693950024,FY-15
IGM.TO,5510202010,20.75,24.2164068921596,FY-15
L.TO,5430102010,10.12,6.00764609503004,FY-15
WN.TO,5430102010,10.86,6.41051567239636,FY-15
MDLZ.OQ,5410202010,10.65,8.91316025067144,FY-15
TA.TO,5910102010,13.43,13.0741077661893,FY-15
CP.TO,5240503010,12.32,18.0737609555573,FY-15
TRP.TO,5010303010,11.31,13.9681061576068,FY-15
IMO.TO,5010203010,38.5,41.5943636245026,FY-15
ENB.TO,5010303010,12.07,14.3471846569953,FY-15
HKLD.SI,6010101010,3.243,27.0048453897472,FY-15
CNR.TO,5240503010,16.95,21.5789210539473,FY-15
SU.TO,5010201010,19.28,28.6166538756715,FY-15
HON.OQ,5440101010,26.05,25.8050892197234,FY-15
ADM.N,5410202010,,14.3879076910641,FY-15
CSX.OQ,5240503011,13.94,14.0072529465095,FY-15
CPB.N,5410202010,60.47,47.9908151549943,FY-15
FLR.N,5220102010,17.98,25.7380214540525,FY-15
PEG.N,5910401010,18.66,18.8665812330913,FY-15
ROK.N,5210203010,36.002,33.6635971558457,FY-15
UNP.N,5240503011,11.9,12.0076382820339,FY-15
AES.N,5910101010,20.6,14.7810516034511,FY-15
ATD.TO,5010203012,14.31,15.7809178441916,FY-15
APD.N,5110101015,21.06,20.7195310792966,FY-15
AB.N,5510202011,,24.0610391703831,FY-15
ABM.N,5220304010,9.36,8.83117336018588,FY-15
AEP.OQ,5910101010,11.9,11.7447246525991,FY-15
ARE.TO,5220102010,21.34,25.4889027260351,FY-15
ARCH.N,5010101010,,12.0754073566318,FY-15
MERC.OQ,5130102013,8.09,8.85232099984643,FY-15
ACOx.TO,5910401010,15.94,16.7110342073739,FY-15
ATO.N,5910201010,8.79,8.83753757236366,FY-15
BKH.N,5910401010,10.32,8.55516462336411,FY-15
BLX.TO,5910101023,7.57,9.23089446917537,FY-15
MTZ.N,5220102014,,2.02914370975139,FY-15
CMS.N,5910401010,9.32,-5.68285976168653,FY-15
TFII.TO,5240503012,9.1,8.41869347080274,FY-15
CWT.N,5910301010,8.08,8.11663706412604,FY-15
CASY.OQ,5430102012,13.13,13.9195694806089,FY-15
CPSH.OQ,5210203010,,19.3950541590027,FY-15
CPK.N,5910201011,11.04,11.4572527523751,FY-15
CTAS.OQ,5220304010,14.88,15.1702820685099,FY-15
CLH.N,5220301010,21.68,23.394897921198,FY-15
CLF.N,5120102010,22.737,27.7140612725844,FY-15
CMC.N,5120102010,14.08,15.3529236417264,FY-15
CAG.N,5410202010,17.42,9.9009102547302,FY-15
ED.N,5910101010,,10.8313817330211,FY-15
CXT.N,5210203010,22.05,-6.91358462819798,FY-15
VVI.N,5220304026,,9.03477340825635,FY-15
D.N,5910101010,17.84,22.823603208029,FY-15
DCI.N,5220301011,23.24,25.1995078890889,FY-15
DUK.N,5910101010,7.46,6.43538191581573,FY-15
DY.N,5220102023,,5.4919187509283,FY-15
EMR.N,5210203010,26.929,26.525020967291,FY-15
EMPa.TO,5430102010,9.78,13.9805911286392,FY-15
ETR.N,5910101010,15.26,14.1321241765074,FY-15
FMC.N,5110102010,22.52,15.0204868643047,FY-15
RUS.TO,5120102014,12.4,12.3256860098965,FY-15
ARG.TO,5120105012,18.63,20.1784015322423,FY-15
FI.N,5220304027,18.2,16.8403842223585,FY-15
FLO.N,5410202012,14.42,15.5223865905217,FY-15
FTS.TO,5910101010,6.89,9.95615166365747,FY-15
FCX.N,5120105010,20.68,35.0422968469623,FY-15
GIS.N,5410202010,,22.4485903526719,FY-15
NVRI.N,5220301012,16.29,18.8103667377823,FY-15
HE.N,5910101010,,6.99288428109051,FY-15
HCSG.OQ,5220304016,15.19,16.4233262538347,FY-15
HTLD.OQ,5240503012,22.22,18.1834904742636,FY-15
HSY.N,5410202010,81.26,33.5573845629512,FY-15
DINO.N,5010203011,56.27,63.0496807209818,FY-15
HRL.N,5410202016,15.79,16.3729375666914,FY-15
HUBB.N,5210203010,19.24,19.7988656403413,FY-15
JBHT.OQ,5240503012,60.56,38.6483688053864,FY-15
GCARSOA1.MX,5440101010,,35.9038766427061,FY-15
IDA.N,5910101010,6.81,7.09766853756683,FY-15
ITW.N,5440101010,20.0,19.8999141643892,FY-15
IFF.N,5410202026,38.19,32.4663270634835,FY-15
WKC.N,5010203013,14.01,14.2382337230696,FY-15
EME.N,5220102010,14.02,15.5505688406933,FY-15
J.N,5220304010,18.74,20.5801738354616,FY-15
K.N,5410202010,43.67,48.0087051142546,FY-15
KR.N,5430102010,24.31,24.6941397371282,FY-15
SR.N,5910201010,11.814,12.3340081591248,FY-15
MDU.N,5910401010,12.88,13.8056144658045,FY-15
MGEE.OQ,5910101010,11.42,12.1595270174355,FY-15
MRTN.OQ,5240503012,6.32,6.53734361453781,FY-15
MKC.N,5410202010,23.44,22.8002378121284,FY-15
MGRC.OQ,5220304018,17.38,17.8634986089553,FY-15
MRU.TO,5430102010,13.65,14.6078088286757,FY-15
NI.N,5910401010,7.39,6.00582743652257,FY-15
NFG.N,5910201010,16.721,16.507747428811,FY-15
NEN.A,6010101010,62.7,16.6899636566956,FY-15
NJR.N,5910201011,12.905,15.903675889472,FY-15
AGR.N,5910101010,,8.27803618252013,FY-15
NSC.N,5240503011,15.25,15.044979836625,FY-15
ES.N,5910101010,8.44,8.71121602624018,FY-15
XEL.OQ,5910101010,9.68,9.43499426959824,FY-15
NTRS.OQ,5510202010,18.21,17.1986277061398,FY-15
NWN.N,5910201011,12.53,12.4754667184685,FY-15
NWE.OQ,5910401010,6.46,6.7941205585661,FY-15
NUE.N,5120102010,28.79,29.4416759910566,FY-15
MX.TO,5110101010,28.13,29.5265473423184,FY-15
OLN.N,5110101010,17.24,16.7025683512842,FY-15
PPG.N,5110101012,20.45,23.0386219889651,FY-15
PCG.N,5910101010,11.76,11.4886335859203,FY-15
PAAS.TO,5120101011,14.81,15.9083446754039,FY-15
PKI.TO,5010203010,38.68,54.6020173875406,FY-15
EXC.OQ,5910101010,28.79,26.8333497391476,FY-15
WTRG.N,5910301010,9.73,10.012392461674,FY-15
PPC.OQ,5410202016,,4.50010023808182,FY-15
TROW.OQ,5510202010,24.15,25.7724827056111,FY-15
PNM.N,5910101010,,3.51827939908656,FY-15
KWR.N,5110101010,12.17,12.8270818823998,FY-15
RPM.N,5110101012,20.35,3.87654007823962,FY-15
RRX.N,5210203010,13.86,15.0886440580994,FY-15
ROL.N,5220304020,27.72,29.0917997716916,FY-15
R.N,5240503010,13.37,13.6658456121992,FY-15
EIX.N,5910101010,14.41,13.4711818238098,FY-15
SEIC.OQ,5510202014,36.45,37.4662825952938,FY-15
SJW.N,5910301011,8.16,8.30889498533699,FY-15
ATRL.TO,5220102010,16.5,7.5361797360767,FY-15
FSZ.TO,5510202010,,31.658021050819,FY-15
SVT.A,5210203010,,13.4760622578315,FY-15
SHW.N,5110101012,34.47,39.9663061865696,FY-15
CPLE6.SA,5910101010,,16.2942341992761,FY-15
AOS.N,5210203015,11.64,3.02273987798114,FY-15
SJM.N,5410202010,9.94,9.40778915925696,FY-15
AWR.N,5910301010,,9.15367585937327,FY-15
SO.N,5910101010,13.51,14.5984172419599,FY-15
SWX.N,5910201011,8.46,8.83200767281065,FY-15
SYY.N,5430102010,32.45,33.0817153369044,FY-15
TRNS.OQ,5220304010,15.63,17.9382069384347,FY-15
TSN.N,5410202016,2.114,1.76500769625449,FY-15
X.N,5120102010,20.96,17.6637025060631,FY-15
WM.N,5220301010,18.66,19.3607457965707,FY-15
UNF.N,5220304010,10.95,11.5697132237356,FY-15
UTL.N,5910401010,8.565,8.67810292633703,FY-15
URB.TO,5510202011,,,FY-15
VICR.OQ,5210203010,3.24,3.18876788638782,FY-15
LNT.OQ,5910101010,11.06,15.9287388654477,FY-15
AVA.N,5910401010,4.21,4.20838822832598,FY-15
WSO.N,5210203015,12.27,11.1534468740358,FY-15
WERN.OQ,5240503012,9.59,8.84918964335853,FY-15
WMB.N,5010303010,16.49,13.3194087403599,FY-15
WEC.N,5910101010,10.86,11.2120503657192,FY-15
WOR.N,5120102013,13.21,-13.5994560921326,FY-15
FM.TO,5120105012,32.81,41.5276558384548,FY-15
CUPRUM.SN,5510202011,,43.5451888071319,FY-15
ARCB.OQ,5240503010,9.15,9.21437124364881,FY-15
CMIG4.SA,5910101010,,35.1817710032715,FY-15
CMPC.SN,5130102010,,9.65190691359054,FY-15
COPEC.SN,5010203010,,13.2634636022815,FY-15
GGBR4.SA,5120102010,19.605,,FY-15
CSNA3.SA,5120102010,,42.7669163909602,FY-15
VALE3.SA,5120102011,,55.9842708084097,FY-15
WEGE3.SA,5210203010,,14.5809838144143,FY-15
ENAEX.SN,5110101014,,11.0538187481862,FY-15
GOAU4.SA,5120102010,,32.3919060285061,FY-15
PETR4.SA,5010201010,,20.3532056648829,FY-15
CS.TO,5120105012,26.44,,FY-15
AUTLANB.MX,5120105010,15.2,20.0190937479378,FY-15
BIMBOA.MX,5410202012,14.6,21.9118380481381,FY-15
ORBIA.MX,5110101011,,28.2264680216411,FY-15
CEMEXCPO.MX,5120201010,,13.7727549080301,FY-15
ALFAA.MX,5440101010,9.8,9.79876818563653,FY-15
PEOLES.MX,5120108010,,24.3697658707303,FY-15
FEMSAUBD.MX,5430102012,13.2,14.0410520340013,FY-15
WT.N,5510202011,,-54.2148011519917,FY-15
TKO.TO,5120105010,,22.6851815345472,FY-15
FVI.TO,5120108010,-2.76,,FY-15
NATR.OQ,5410202025,,,FY-15
COLBUN.SN,5910101010,,-3.67753415395764,FY-15
ODFL.OQ,5240503012,14.68,15.8382135045509,FY-15
MMS.N,5220304010,9.995,8.60071288238608,FY-15
CASAGRC1.LM,5410202022,,3.76222845448789,FY-15
AME.N,5210203010,18.37,20.6597960748924,FY-15
VLO.N,5010203010,25.56,23.5880577710714,FY-15
NRG.N,5910101010,11.2,11.2787032868077,FY-15
UGPA3.SA,5010203012,,6.42098245931926,FY-15
BACHOCOB.MX,5410202016,,8.72362589392574,FY-15
CHRW.OQ,5240503010,31.11,32.6551596171344,FY-15
PPL.TO,5010303010,,16.1598118577964,FY-15
CWST.OQ,5220301012,,-8.73403677737648,FY-15
ALS.TO,5120108010,,7.57074489894927,FY-15
FE.N,5910101010,14.61,14.493396959272,FY-15
AMG.N,5510202010,55.15,36.4507694976581,FY-15
INGR.N,5410202010,12.11,13.1654917757637,FY-15
URI.N,5220304018,15.0,20.4161979752531,FY-15
AQN.TO,5910401010,6.41,6.17055608650306,FY-15
AAIC.N,5510202010,-150.99,-84.8499566703393,FY-15
AEE.N,5910401010,10.11,9.26884139482565,FY-15
PWR.N,5220102010,5.97,8.36345568257232,FY-15
RBA.TO,5220304010,17.46,18.9070522909401,FY-15
FHI.N,5510202011,37.65,38.214411948631,FY-15
EGIE3.SA,5910102012,,37.468108497043,FY-15
BTU.N,5010101010,16.56,18.2247594080638,FY-15
WCC.N,5210203020,37.12,33.9077774124574,FY-15
SRE.N,5910401010,13.49,14.1955835962145,FY-15
RSG.N,5220301010,24.45,21.2920503320004,FY-15
RAIL3.SA,5240503010,,6.78293248667226,FY-15
EPD.N,5010303010,8.7,6.55255099912923,FY-15
PAA.OQ,5010303010,10.25,8.68614279018903,FY-15
ALA.TO,5910201010,17.24,19.5303131485032,FY-15
TRPL4.SA,5910101010,,22.2367639887751,FY-15
CE.N,5110101010,54.83,39.9134667387777,FY-15
BLK.N,5510202010,,8.65112862597243,FY-15
NEE.N,5910101010,13.02,12.697798209533,FY-15
SAPR4.SA,5910301011,,6.4408295921801,FY-15
PX.N,5510202014,,-56.9016743953572,FY-15
SPTN.OQ,5430102010,,16.2636041825366,FY-15
BRAP4.SA,5120102011,,30.9585110170441,FY-15
NS.N,5010303010,6.48,6.65885891611784,FY-15
RGP.OQ,5220304010,16.08,14.6999269262553,FY-15
CVERDEC1.LM,5120105012,,59.4565758299748,FY-15
GPN.N,5220304027,,14.6922614187703,FY-15
GDI.TO,5220304016,-111.1,-105.93422868491,FY-15
GLNG.OQ,5010303011,5.72,48.930138092973,FY-15
XPO.N,5240503010,11.93,10.8109719737627,FY-15
CHE_u.TO,5110101010,10.06,10.1839204739786,FY-15
WCN.TO,5220301012,,5.0493549621919,FY-15
HEES.OQ,5220304018,22.5,24.6823332607674,FY-15
