Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,year
EQNR.OL,62911000000.0,19.9137637580846,1.71753,1.90565,1.97984,11.71,66485310783.4449,3328586507.0,118063000000.0,994000000.0,76904000000.0,187.357569180684,29032000000.0,41139000000.0,70191000000.0,29032000000.0,2.426,4.38235643799786,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,9914000000.0,63.430897764308,13228000000.0,Norway,13228000000.0,10204000000.0,FY-3
BP.L,159307000000.0,6.25298329355609,0.53479,0.57967,0.64305,10.18,127390545119.331,20238984000.0,295194000000.0,2415000000.0,194486000000.0,172.571428571429,77446000000.0,98391000000.0,178154000000.0,77446000000.0,3.19567,4.06947940995076,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing (NEC),50,5010,501020,50102030,5010203010,17780000000.0,21.14241,15091000000.0,United Kingdom,15091000000.0,15418000000.0,FY-3
SHEL.L,344877000000.0,29.6340493237868,2.55781,2.786,3.42492,8.55,232475351386.199,7881194624.0,404336000000.0,3840000000.0,213873000000.0,95.9348567100114,96424000000.0,186476000000.0,286887000000.0,96424000000.0,2.7855,8.2270033911332,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,25109000000.0,33.369815,27146000000.0,United Kingdom,27146000000.0,22971000000.0,FY-3
OILI.NS,2739819202.73983,2.14505956552207,0.111176262295082,0.17789554429911,,13.2,2326113734.29152,1084405194.0,7531050137.38999,85964170.2465741,4307969946.76968,4.86629753398665,1717125297.01459,3081095934.05281,4940205487.6349,1717125297.01459,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,252018647.618673,25.12147229348,675546477.309795,India,675546477.309795,466459813.387019,FY-3
AKSOA.OL,3333523193.29263,1.78753841813231,0.035143069131262,0.114640257212598,0.157099691387894,5.69,763070157.27675,271942753.0,3025950059.23631,57782640.8985346,2202223639.84325,0.0,1020345393.23795,812676569.762143,1844071812.631,1020345393.23795,-0.873,0.560262366766876,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services,50,5010,501030,50103020,5010302011,140475514.782855,38.2296476856065,122844984.587436,Norway,122844984.587436,94067409.4942679,FY-3
ENB.TO,38556137378.7155,39.7582011396889,1.97097041955931,2.15432387564141,2.34153335345608,7.88,80467606745.4797,2025000000.0,125640689973.818,2142036862.83859,72193131064.223,115.088312664412,50097797628.215,44891421530.8794,103545356537.81,50097797628.215,10.6658,8.8685958056641,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,Oil & Gas Transportation Services (NEC),50,5010,501030,50103030,5010303010,2556721929.562,20.364000259456,5885512056.07815,Canada,5885512056.07815,4291613454.16306,FY-3
OPAL.OQ,119702000.0,,,,,,,,,,,,,,,,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,7854000.0,22.0291,3081000.0,United States of America,3081000.0,5512000.0,FY-3
ENI.MI,78336658969.1276,15.5033031015564,1.23579153941987,1.46275205891757,1.48276242241161,5.82,56341876698.2196,3572549651.0,138376342398.493,1251379126.69427,84680402663.498,2087.16216216216,33816111023.9222,53627558684.3934,87512050758.9176,33816111023.9222,2.0,0.299428455819129,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,9079774128.57237,28.47653,9864404511.2313,Italy,9864404511.2313,9375269736.30697,FY-3
TTEF.PA,176249000000.0,55.1532408133982,5.10746,5.36694,5.81712,10.179,143502173497.298,2586406841.0,273294000000.0,2110000000.0,153989000000.0,71.9529178535974,60898000000.0,116778000000.0,180203000000.0,60898000000.0,4.42867,9.39169943808139,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,15536000000.0,36.237316806664,17414000000.0,France,17414000000.0,11810000000.0,FY-3
NESTE.HE,17756653139.9233,34.7329526368828,2.08788286661633,2.37289211341278,2.62301522164954,28.96,26716971245.2804,767683600.0,10977961123.6912,51487871.0446658,4339394211.15172,32.6062639821029,1481963096.65269,6636324910.88043,8120530009.19221,1481963096.65269,7.5725,33.9472185304728,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing (NEC),50,5010,501020,50102030,5010203010,559650772.224628,13.44944,2350533243.34344,Finland,2350533243.34344,634643975.702728,FY-3
