Instrument,Segment Name,Segment Code,Revenue,year
ICRA.NS,"Rating, research and other Services",561450,49078724.4401168,FY0
ICRA.NS,Consulting Services,"541611,561450",,FY0
ICRA.NS,Knowledge services,561110,,FY0
ICRA.NS,Market services,541910,,FY0
ICRA.NS,Segment Total,SEGMTL,,FY0
ICRA.NS,Eliminations,ICELIM,,FY0
ICRA.NS,Consolidated Total,CONSTL,,FY0
DEHB.KL,Offshore TMS,213112,223677954.545455,FY0
DEHB.KL,Marine Charter,"213112,483111",,FY0
DEHB.KL,Segment Total,SEGMTL,,FY0
DEHB.KL,Elimination,ICELIM,,FY0
DEHB.KL,Consolidated Total,CONSTL,,FY0
BTPN.JK,,,,FY0
PVD.HM,Commerce,532412,230055256.832698,FY0
PVD.HM,Drilling Oil and Gas Well,213111,,FY0
PVD.HM,Support Activities for Oil and Gas Operation,213112,,FY0
PVD.HM,Segment Total,SEGMTL,,FY0
PVD.HM,Consolidated Total,CONSTL,,FY0
ESSO.BK,Downstream,"324110,424720,457110",7598969517.4805,FY0
ESSO.BK,Petrochemicals,"324110,424720",,FY0
ESSO.BK,Segment Total,SEGMTL,,FY0
ESSO.BK,Eliminations,ICELIM,,FY0
ESSO.BK,Consolidated Total,CONSTL,,FY0
PALTEL.PL,Digital Services,517111,435995765.702188,FY0
PALTEL.PL,Investment,517111,,FY0
PALTEL.PL,Communications,517112,,FY0
PALTEL.PL,Real Estate,OTHERS,,FY0
PALTEL.PL,Segment Total,SEGMTL,,FY0
PALTEL.PL,Eliminations,ICELIM,,FY0
PALTEL.PL,Consolidated Total,CONSTL,,FY0
TTKOM.IS,Land Line,517111,2570714564.72766,FY0
TTKOM.IS,GSM,517112,,FY0
TTKOM.IS,Segment Total,SEGMTL,,FY0
TTKOM.IS,Eliminations,ICELIM,,FY0
TTKOM.IS,Consolidated Total,CONSTL,,FY0
PTT.BK,Upsteam petroleum and natural gas-Natural Gas,"211120,221210,486210",97289878689.6851,FY0
PTT.BK,Downstream petroleum-Oil,"211120,324191",,FY0
PTT.BK,Downstream petroleum-International Trading,424720,,FY0
PTT.BK,Upsteam petroleum and natural gas-Coal,"212115,324199",,FY0
PTT.BK,Upsteam petroleum and natPetroleum and Exploration Productio,211120,,FY0
PTT.BK,Downstream petroleum-Petrochemicals and Refining,324110,,FY0
PTT.BK,New business and Infrastructure,"237120,531390,541614",,FY0
PTT.BK,Segment Total,SEGMTL,,FY0
PTT.BK,Elimination,ICELIM,,FY0
PTT.BK,Other,EXPOTH,,FY0
PTT.BK,Consolidated Total,CONSTL,,FY0
BOUK.KW,,,,FY0
ASTL.NS,Plumbing,OTHERS,627860272.638754,FY0
ASTL.NS,Paints and Adhesives,OTHERS,,FY0
ASTL.NS,Segment Total,SEGMTL,,FY0
ASTL.NS,Consolidated Total,CONSTL,,FY0
SATS.SI,Food Solutions,"722320,812320",1321455734.25522,FY0
SATS.SI,Gateway Services,"488119,488190,488320",,FY0
SATS.SI,Segment Total,SEGMTL,,FY0
SATS.SI,Others,EXPOTH,,FY0
SATS.SI,Consolidated Total,CONSTL,,FY0
SABINA.BK,,,91527283.1551575,FY0
TGIB.KL,Plastic and petroleum products,"326112,424610",315118863.636364,FY0
TGIB.KL,"Food, Beverage and other consumable products","311920,311999,424490,424820",,FY0
TGIB.KL,Others,551112,,FY0
TGIB.KL,Segment Total,SEGMTL,,FY0
TGIB.KL,Consolidated Total,CONSTL,,FY0
VTRX.KL,,,170511136.363636,FY0
TTW.BK,,,164446665.125686,FY0
INED.NS,Recruitment solutions,"519290,561311,561312",285502799.415774,FY0
INED.NS,99acres for real estate,"519290,531210,531390",,FY0
INED.NS,Others,"519290,611710,624190",,FY0
INED.NS,Segment Total,SEGMTL,,FY0
INED.NS,Consolidated Total,CONSTL,,FY0
BJFS.NS,Insurance,"524113,524114,524126",,FY0
BJFS.NS,Windmill,221118,,FY0
BJFS.NS,Retail Financing,522291,,FY0
BJFS.NS,Investment and Others,523940,,FY0
BJFS.NS,Segment Total,SEGMTL,,FY0
BJFS.NS,Intersegment revenue,ICELIM,,FY0
BJFS.NS,Consolidated Total,CONSTL,,FY0
BAJA.NS,Automotive,"336110,336991",4422339337.87731,FY0
BAJA.NS,Investments,523910,,FY0
BAJA.NS,Segment Total,SEGMTL,,FY0
BAJA.NS,Consolidated Total,CONSTL,,FY0
GMD.HM,Port Exploitation Services,488310,165109852.120712,FY0
GMD.HM,Logistics,"484110,493110",,FY0
GMD.HM,Real Estate,"531110,531120,531390,532310",,FY0
GMD.HM,Segment Total,SEGMTL,,FY0
GMD.HM,Eliminations,ICELIM,,FY0
GMD.HM,Consolidated Total,CONSTL,,FY0
ACB.HM,,,,FY0
VNM.HM,,,2539442913.91021,FY0
MGBB.KL,Construction and trading,"327390,423320,541330,541618",139273002.272727,FY0
MGBB.KL,Others,551112,,FY0
MGBB.KL,Property development,"236116,236220",,FY0
MGBB.KL,Segment Total,SEGMTL,,FY0
MGBB.KL,Inter-Segment Eliminations,ICELIM,,FY0
MGBB.KL,Consolidated Total,CONSTL,,FY0
SYNEX.BK,Trading Computer Components,423430,1128606034.96099,FY0
SYNEX.BK,Providing Computers Service and Training,423430,,FY0
SYNEX.BK,Segment Total,SEGMTL,,FY0
SYNEX.BK,Elimination,ICELIM,,FY0
SYNEX.BK,Consolidated Total,CONSTL,,FY0
PTCI.NS,Power Trading,221111,1798016066.21227,FY0
PTCI.NS,Financing business,523150,,FY0
PTCI.NS,Segment Total,SEGMTL,,FY0
PTCI.NS,Unallocated,EXPOTH,,FY0
PTCI.NS,Consolidated Total,CONSTL,,FY0
MRTI.NS,"Manufacture of Motor Vehicles, Components and Spare Parts (""",OTHERS,14310041382.668,FY0
MRTI.NS,Segment Total,SEGMTL,,FY0
MRTI.NS,Consolidated Total,CONSTL,,FY0
AH.BK,Manufacture of Automobiles Assembly Tools & Parts,"333514,336310,336370,336390",808066872.002311,FY0
AH.BK,Sale of Automobiles & Provision of Automobile Repair Service,"441110,811198",,FY0
AH.BK,Other,"334511,336390,541512",,FY0
AH.BK,Segment Total,SEGMTL,,FY0
AH.BK,Elimination,ICELIM,,FY0
AH.BK,Consolidated Total,CONSTL,,FY0
TAVHL.IS,Terminal Operations,488119,1125169092.46575,FY0
TAVHL.IS,Catering Operations,722320,,FY0
TAVHL.IS,Duty Free Operations,"445320,455110",,FY0
TAVHL.IS,Ground Handling and Bus Operations,488119,,FY0
TAVHL.IS,Segment Total,SEGMTL,,FY0
TAVHL.IS,Elimination,ICELIM,,FY0
TAVHL.IS,Other Operations,EXPOTH,,FY0
TAVHL.IS,Consolidated Total,CONSTL,,FY0
XPP.L,,,351297405.189621,FY0
7030.SE,Mobile Telecommunications Company,517112,2415536864.51956,FY0
7030.SE,Zain Sales Company,423690,,FY0
7030.SE,Zain Payments,522320,,FY0
7030.SE,Zain Drones,336411,,FY0
7030.SE,Segment Total,SEGMTL,,FY0
7030.SE,Eliminations / Adjustments,ICELIM,,FY0
7030.SE,Consolidated Total,CONSTL,,FY0
JKBK.NS,,,,FY0
BATA.DH,All other segments,316210,96147800.5853659,FY0
BATA.DH,Segment Total,SEGMTL,,FY0
BATA.DH,Consolidated Total,CONSTL,,FY0
VGUA.NS,Electronics,"334416,335999",502196226.874391,FY0
VGUA.NS,Electrical/Electro Mechanical,"333914,335313,335929,335999",,FY0
VGUA.NS,Consumer Durables,"333414,333415,335210,335220",,FY0
VGUA.NS,Sunflame,OTHERS,,FY0
VGUA.NS,Segment Total,SEGMTL,,FY0
VGUA.NS,Consolidated Total,CONSTL,,FY0
MAHB.KL,Duty Free and non-dutiable,488119,710687045.454545,FY0
MAHB.KL,Airport Services,"488119,488190",,FY0
MAHB.KL,Agriculture & Horticulture,111120,,FY0
MAHB.KL,Hotel,721110,,FY0
MAHB.KL,Project Repair and Maintenance,"488119,541330",,FY0
MAHB.KL,Others Services,488190,,FY0
MAHB.KL,Airport Operations,488119,,FY0
MAHB.KL,Consolidation adjustment,OTHERS,,FY0
MAHB.KL,Segment Total,SEGMTL,,FY0
MAHB.KL,Consolidated Total,CONSTL,,FY0
NICE.TA,Customer Engagement,513210,2181294000.0,FY0
NICE.TA,Financial Crime and Compliance solutions,513210,,FY0
NICE.TA,Segment Total,SEGMTL,,FY0
NICE.TA,Not allocated,EXPOTH,,FY0
NICE.TA,Consolidated Total,CONSTL,,FY0
HPG.HM,Iron and Steel Manufacturing,331110,5989380536.24015,FY0
HPG.HM,Activities Related to Real Estate,531390,,FY0
HPG.HM,Iron and Steel Mills Manufacture,331110,,FY0
HPG.HM,Agriculture,311119,,FY0
HPG.HM,Segment Total,SEGMTL,,FY0
HPG.HM,Eliminations,ICELIM,,FY0
HPG.HM,Consolidated Total,CONSTL,,FY0
SIME.KL,Industrial,"423810,532412",10351125401.9293,FY0
SIME.KL,Motors,441110,,FY0
SIME.KL,Healthcare,622110,,FY0
SIME.KL,Segment Total,SEGMTL,,FY0
SIME.KL,Elimination/Corporate expense,ICELIM,,FY0
SIME.KL,Others,EXPOTH,,FY0
SIME.KL,Consolidated Total,CONSTL,,FY0
ADRO.JK,Sales of Coal,"212114,212115",8102399000.0,FY0
ADRO.JK,Mining Services,213113,,FY0
ADRO.JK,Logistics,"221112,484220,488310",,FY0
ADRO.JK,Segment Total,SEGMTL,,FY0
ADRO.JK,Elimination,ICELIM,,FY0
ADRO.JK,Other,EXPOTH,,FY0
ADRO.JK,Consolidated Total,CONSTL,,FY0
PDNI.KL,Others,722513,390595712.754555,FY0
PDNI.KL,Apparels and Footwear,"458110,458210",,FY0
PDNI.KL,Investment holding,551112,,FY0
PDNI.KL,Management service,541611,,FY0
PDNI.KL,Segment Total,SEGMTL,,FY0
PDNI.KL,Eliminations,ICELIM,,FY0
PDNI.KL,Consolidated Total,CONSTL,,FY0
BION.NS,Research Services,541715,1360053554.0409,FY0
BION.NS,Novel Biologics,325412,,FY0
BION.NS,Generics,325412,,FY0
BION.NS,Biosimilers,325412,,FY0
BION.NS,Segment Total,SEGMTL,,FY0
BION.NS,Unallocate,EXPOTH,,FY0
BION.NS,Consolidated Total,CONSTL,,FY0
2330.SE,,,784793984.562151,FY0
JYOI.NS,Dishwashing,325611,302582181.110029,FY0
JYOI.NS,Laundry Services,"325613,812320",,FY0
JYOI.NS,Fabric Care,"313310,325611",,FY0
JYOI.NS,Household Insecticides,"325998,561710",,FY0
JYOI.NS,Personal Care,325620,,FY0
JYOI.NS,Segment Total,SEGMTL,,FY0
JYOI.NS,Others,EXPOTH,,FY0
JYOI.NS,Consolidated Total,CONSTL,,FY0
ECLE.NS,"Data management, analytics solutions and process",OTHERS,322285418.695229,FY0
ECLE.NS,Segment Total,SEGMTL,,FY0
ECLE.NS,Consolidated Total,CONSTL,,FY0
UZMA.KL,Services,"213112,541360",101559485.530547,FY0
UZMA.KL,Trading,424690,,FY0
UZMA.KL,Investment Holding,523910,,FY0
UZMA.KL,Segment Total,SEGMTL,,FY0
UZMA.KL,Eliminations,ICELIM,,FY0
UZMA.KL,Consolidated Total,CONSTL,,FY0
PPL.PSX,"Exploration, development and production of oil,gas and baryt",211120,1007178458.04196,FY0
PPL.PSX,Segment Total,SEGMTL,,FY0
PPL.PSX,Consolidated Total,CONSTL,,FY0
BMP.HM,,,246012044.695468,FY0
PRBK.DH,,,,FY0
ARBN.NS,Pharmaceutical Products,325412,3025240993.18403,FY0
ARBN.NS,Segment Total,SEGMTL,,FY0
ARBN.NS,Consolidated Total,CONSTL,,FY0
GATI.NS,Express Distribution & Supply Chain,"482111,492110",209733446.932814,FY0
GATI.NS,Fuel Station,424720,,FY0
GATI.NS,Segment Total,SEGMTL,,FY0
GATI.NS,Inter Segment Revenue,ICELIM,,FY0
GATI.NS,Other Sales,EXPOTH,,FY0
GATI.NS,Consolidated Total,CONSTL,,FY0
HIKA.NS,Crop Protection,325320,246230525.803311,FY0
HIKA.NS,Pharmaceutical,325412,,FY0
HIKA.NS,Segment Total,SEGMTL,,FY0
HIKA.NS,Consolidated Total,CONSTL,,FY0
CHLA.NS,Vehicle finance,522220,1568171859.78578,FY0
CHLA.NS,Loan against property,522292,,FY0
CHLA.NS,Home loans,522292,,FY0
CHLA.NS,Segment Total,SEGMTL,,FY0
CHLA.NS,Other,EXPOTH,,FY0
CHLA.NS,Unallocated,EXPOTH,,FY0
CHLA.NS,Consolidated Total,CONSTL,,FY0
IOLC.NS,Chemicals,325199,269852726.387536,FY0
IOLC.NS,Pharmaceutical,325412,,FY0
IOLC.NS,Segment Total,SEGMTL,,FY0
IOLC.NS,Inter segment revenue,ICELIM,,FY0
IOLC.NS,Unallocated,EXPOTH,,FY0
IOLC.NS,Consolidated Total,CONSTL,,FY0
1211.SE,Phosphate,"212390,325312",10720554242.7469,FY0
1211.SE,Aluminum,"212290,331313",,FY0
1211.SE,Precious and Base Metals,"212220,212230",,FY0
1211.SE,Others,OTHERS,,FY0
1211.SE,Segment Total,SEGMTL,,FY0
1211.SE,Consolidated Total,CONSTL,,FY0
SOCE.NS,Ceramic Tiles and Allied Products,327120,301668366.601753,FY0
SOCE.NS,Segment Total,SEGMTL,,FY0
SOCE.NS,Consolidated Total,CONSTL,,FY0
JAGP.NS,"Printing, Publishing and Digital","513110,513120",225921920.642648,FY0
JAGP.NS,FM Radio business,516110,,FY0
JAGP.NS,Others,"541850,561920",,FY0
JAGP.NS,Segment Total,SEGMTL,,FY0
JAGP.NS,Eliminations,ICELIM,,FY0
JAGP.NS,Consolidated Total,CONSTL,,FY0
BLA.BK,Life Annuity Products,524113,,FY0
BLA.BK,Personal Accident,524113,,FY0
BLA.BK,Traditional Products,524113,,FY0
BLA.BK,Investment Life,524113,,FY0
BLA.BK,Segment Total,SEGMTL,,FY0
BLA.BK,Consolidated Total,CONSTL,,FY0
JAZK.KW,Passenger Airline Service,481111,595598685.286326,FY0
JAZK.KW,Terminal operations,488119,,FY0
JAZK.KW,Segment Total,SEGMTL,,FY0
JAZK.KW,Consolidated Total,CONSTL,,FY0
VPB.HM,,,,FY0
PVS.HN,Deep Sea Freight Transportation,483111,693456692.961881,FY0
PVS.HN,Port,488310,,FY0
PVS.HN,Sea Construction Installing and Maintaining,541330,,FY0
PVS.HN,Other Services,561499,,FY0
PVS.HN,Mechanical and Construction,488390,,FY0
PVS.HN,Oil refinery ship,213112,,FY0
PVS.HN,Geologic Investigation,541360,,FY0
PVS.HN,Segment Total,SEGMTL,,FY0
PVS.HN,Eliminations,ICELIM,,FY0
PVS.HN,Consolidated Total,CONSTL,,FY0
BVH.HM,Life Insurance,"524113,524114",,FY0
BVH.HM,Financial Activities,"523150,523999",,FY0
BVH.HM,Real Estate,531390,,FY0
BVH.HM,Segment Total,SEGMTL,,FY0
BVH.HM,Adjustment,EXPOTH,,FY0
BVH.HM,Consolidated Total,CONSTL,,FY0
BEML.NS,,,474555367.575462,FY0
CRSL.NS,Rating Services,561450,334722003.941149,FY0
CRSL.NS,Research Services,561450,,FY0
CRSL.NS,Segment Total,SEGMTL,,FY0
CRSL.NS,Consolidated Total,CONSTL,,FY0
TVTO.NS,Television Broadcasting,516120,106892648.49075,FY0
TVTO.NS,Radio Broadcasting,516210,,FY0
TVTO.NS,Unallocated,OTHERS,,FY0
TVTO.NS,Segment Total,SEGMTL,,FY0
TVTO.NS,Consolidated Total,CONSTL,,FY0
SNFN.NS,Assets Financing,"522220,522291,522299,523999",666521421.616358,FY0
SNFN.NS,Other,"522299,523940,523999,524130",,FY0
SNFN.NS,Segment Total,SEGMTL,,FY0
SNFN.NS,Eliminations,ICELIM,,FY0
SNFN.NS,Consolidated Total,CONSTL,,FY0
KANE.NS,,,918053797.468354,FY0
DRC.HM,Rubber Tyre,326211,207479361.411266,FY0
DRC.HM,Segment Total,SEGMTL,,FY0
DRC.HM,Consolidated Total,CONSTL,,FY0
APLO.NS,APMEA,"326211,441340",2990278724.44012,FY0
APLO.NS,Europe,"326211,441340",,FY0
APLO.NS,Others,OTHERS,,FY0
APLO.NS,Segment Total,SEGMTL,,FY0
APLO.NS,Inter Segment revenue,ICELIM,,FY0
APLO.NS,Consolidated Total,CONSTL,,FY0
CNTP.NS,Plywood,321211,443837244.401168,FY0
CNTP.NS,Laminate,321999,,FY0
CNTP.NS,CFS service,484230,,FY0
CNTP.NS,MDF,321219,,FY0
CNTP.NS,Plain Particle Board,321219,,FY0
CNTP.NS,Segment Total,SEGMTL,,FY0
CNTP.NS,Elimination,ICELIM,,FY0
CNTP.NS,Other,EXPOTH,,FY0
CNTP.NS,Consolidated Total,CONSTL,,FY0
DLF.NS,,,693139362.220059,FY0
ABB.NS,Electrification,"334416,334419",1035764111.36768,FY0
ABB.NS,Robotics & Discrete Automation,335312,,FY0
ABB.NS,Motion,335312,,FY0
ABB.NS,Process Automation,541330,,FY0
ABB.NS,Others,OTHERS,,FY0
ABB.NS,Segment Total,SEGMTL,,FY0
ABB.NS,Inter Segment Sales,ICELIM,,FY0
ABB.NS,Consolidated Total,CONSTL,,FY0
CESC.NS,Generation and Distribution of Electricity,"221112,221118,221121,221122",1692952775.07303,FY0
CESC.NS,Segment Total,SEGMTL,,FY0
CESC.NS,Consolidated Total,CONSTL,,FY0
BHEL.NS,Power,"332410,333132,333611,335311",2843833982.47322,FY0
BHEL.NS,Industry,"327110,332410,334413,335313",,FY0
BHEL.NS,Segment Total,SEGMTL,,FY0
BHEL.NS,Consolidated Total,CONSTL,,FY0
APLH.NS,Healthcare Services,"456110,622110",2021969328.14021,FY0
APLH.NS,Retail Health & Diagnostics,622110,,FY0
APLH.NS,Digital Health & Pharmacy distribution,456110,,FY0
APLH.NS,Segment Total,SEGMTL,,FY0
APLH.NS,Intersegment Revenue,ICELIM,,FY0
APLH.NS,Other,EXPOTH,,FY0
APLH.NS,Consolidated Total,CONSTL,,FY0
ASOK.NS,Commercial vehicle,"336110,336120",5072127555.98832,FY0
ASOK.NS,Financial vehicle,525990,,FY0
ASOK.NS,Segment Total,SEGMTL,,FY0
ASOK.NS,Intersegmental Revenue,ICELIM,,FY0
ASOK.NS,Consolidated Total,CONSTL,,FY0
ACC.NS,Cement,327310,2703283836.41675,FY0
ACC.NS,Ready Mix Concrete,327320,,FY0
ACC.NS,Segment Total,SEGMTL,,FY0
ACC.NS,Eliminations,ICELIM,,FY0
ACC.NS,Inter Segment,ICELIM,,FY0
ACC.NS,Consolidated Total,CONSTL,,FY0
ARVN.NS,Textiles,"313110,313210,313240",1020262901.65531,FY0
ARVN.NS,Advanced Material,"313110,313210,315120,458110",,FY0
ARVN.NS,Segment Total,SEGMTL,,FY0
ARVN.NS,Inter segment sales,ICELIM,,FY0
ARVN.NS,Elimination,ICELIM,,FY0
ARVN.NS,Others,EXPOTH,,FY0
ARVN.NS,Consolidated Total,CONSTL,,FY0
ASPN.NS,,,4197734907.49757,FY0
ATLP.NS,Life Science Chemicals,325130,660603700.097371,FY0
ATLP.NS,Performance & other Chemicals,"325211,325320",,FY0
ATLP.NS,Others,OTHERS,,FY0
ATLP.NS,Segment Total,SEGMTL,,FY0
ATLP.NS,Eliminations,ICELIM,,FY0
ATLP.NS,Intersegment Revenue,ICELIM,,FY0
ATLP.NS,Consolidated Total,CONSTL,,FY0
AHUN.CM,Resorts and hotel,721110,139071913.580247,FY0
AHUN.CM,South Asian and Middle East Sector,721110,,FY0
AHUN.CM,Segment Total,SEGMTL,,FY0
AHUN.CM,Intra group Revenue,ICELIM,,FY0
AHUN.CM,Other,EXPOTH,,FY0
AHUN.CM,Consolidated Total,CONSTL,,FY0
ANV.HM,,,207397163.932232,FY0
BPCL.NS,Downstream Petroleum,324110,64940030428.4323,FY0
BPCL.NS,Exploration & Production of Hydrocarbons,324110,,FY0
BPCL.NS,Segment Total,SEGMTL,,FY0
BPCL.NS,Consolidated Total,CONSTL,,FY0
MBFL.NS,Banking and Financial Services,513210,1679466528.72444,FY0
MBFL.NS,Insurance,524210,,FY0
MBFL.NS,Technology Media and Telecom,518210,,FY0
MBFL.NS,Logistics and Transportation,518210,,FY0
MBFL.NS,Others,OTHERS,,FY0
MBFL.NS,Segment Total,SEGMTL,,FY0
MBFL.NS,Unallocated- Hedge,EXPOTH,,FY0
MBFL.NS,Consolidated Total,CONSTL,,FY0
BATA.NS,Footwear & accessories,"316210,458210",420103213.242454,FY0
BATA.NS,Segment Total,SEGMTL,,FY0
BATA.NS,Consolidated Total,CONSTL,,FY0
BFRG.NS,Forging,"332111,336350,336370",1571355769.23077,FY0
BFRG.NS,Adjustments and eliminations,"ICELIM,OTHERS",,FY0
BFRG.NS,Segment Total,SEGMTL,,FY0
BFRG.NS,Inter Segment Revenue,ICELIM,,FY0
BFRG.NS,Others,EXPOTH,,FY0
BFRG.NS,Consolidated Total,CONSTL,,FY0
BRIT.NS,Foods,311821,1984000730.28238,FY0
BRIT.NS,Segment Total,SEGMTL,,FY0
BRIT.NS,Consolidated Total,CONSTL,,FY0
BRLC.NS,Cement,327310,1056751460.56475,FY0
BRLC.NS,Jute,313210,,FY0
BRLC.NS,Segment Total,SEGMTL,,FY0
BRLC.NS,Intersegment Eliminations,ICELIM,,FY0
BRLC.NS,Others,EXPOTH,,FY0
BRLC.NS,Consolidated Total,CONSTL,,FY0
BAYE.NS,,,625572054.527751,FY0
CRBR.NS,Abrasives,327910,566489897.760467,FY0
CRBR.NS,Ceramics,"327110,327120",,FY0
CRBR.NS,Electrominerals,"325998,327999",,FY0
CRBR.NS,IT Services,518210,,FY0
CRBR.NS,Power,"221111,221118",,FY0
CRBR.NS,Segment Total,SEGMTL,,FY0
CRBR.NS,Eliminations,ICELIM,,FY0
CRBR.NS,Intersegment Revenue,ICELIM,,FY0
CRBR.NS,Other,EXPOTH,,FY0
CRBR.NS,Consolidated Total,CONSTL,,FY0
CAST.NS,,,577207829.104054,FY0
CEAT.NS,,,1377176241.48004,FY0
COLG.NS,,,636099939.143135,FY0
EXID.NS,Storage Batteris & Allied Products,335910,1835219084.71276,FY0
EXID.NS,Life Insurance Business (discontinued operations),524113,,FY0
EXID.NS,Segment Total,SEGMTL,,FY0
EXID.NS,Others,EXPOTH,,FY0
EXID.NS,Consolidated Total,CONSTL,,FY0
CNTY.NS,Textiles,"313110,313210,314999",584183300.876339,FY0
CNTY.NS,Pulp and Paper,"322110,322120,561910",,FY0
CNTY.NS,Others,212390,,FY0
CNTY.NS,Real Estate,"236220,531110",,FY0
CNTY.NS,Segment Total,SEGMTL,,FY0
CNTY.NS,Elimination,ICELIM,,FY0
CNTY.NS,Intersegment Eliminations,ICELIM,,FY0
CNTY.NS,Consolidated Total,CONSTL,,FY0
CGPO.NS,Power Systems,"335311,335312,335313,336320",848653846.153846,FY0
CGPO.NS,Industrial Systems,333413,,FY0
CGPO.NS,Segment Total,SEGMTL,,FY0
CGPO.NS,Eliminations,ICELIM,,FY0
CGPO.NS,Others,EXPOTH,,FY0
CGPO.NS,Unallocable,EXPOTH,,FY0
CGPO.NS,Consolidated Total,CONSTL,,FY0
COMB.CM,,,,FY0
CHRC.PSX,"Manufacturing, marketing and sale of cements",327310,130720930.06993,FY0
CHRC.PSX,Segment Total,SEGMTL,,FY0
CHRC.PSX,Consolidated Total,CONSTL,,FY0
DABU.NS,Consumer Care Business,325620,1403345910.41869,FY0
DABU.NS,Foods Business,"311514,311999,812199",,FY0
DABU.NS,Retail business,"339999,812199",,FY0
DABU.NS,Segment Total,SEGMTL,,FY0
DABU.NS,Other Segments,EXPOTH,,FY0
DABU.NS,Unallocated,EXPOTH,,FY0
DABU.NS,Consolidated Total,CONSTL,,FY0
DGKH.PSX,Cement,"327310,423320",246486716.783217,FY0
DGKH.PSX,Paper,"322120,322299,326111",,FY0
DGKH.PSX,Dairy/ Farm,"112120,311511",,FY0
DGKH.PSX,Segment Total,SEGMTL,,FY0
DGKH.PSX,Elimination,ICELIM,,FY0
DGKH.PSX,Consolidated Total,CONSTL,,FY0
REDY.NS,Global Generics,325412,3002641187.926,FY0
REDY.NS,Pharmaceutical Services and Active Ingredients,325412,,FY0
REDY.NS,Segment Total,SEGMTL,,FY0
REDY.NS,Eliminations,ICELIM,,FY0
REDY.NS,Other,EXPOTH,,FY0
REDY.NS,Consolidated Total,CONSTL,,FY0
LFAR.DH,Clinker and cement,327310,230185736.585366,FY0
LFAR.DH,Aggregates,"327320,423320",,FY0
LFAR.DH,Segment Total,SEGMTL,,FY0
LFAR.DH,Consolidated Total,CONSTL,,FY0
EICH.NS,Automotive Segments,OTHERS,1757811587.14703,FY0
EICH.NS,Segment Total,SEGMTL,,FY0
EICH.NS,Consolidated Total,CONSTL,,FY0
ESCO.NS,Agri-Machinery Products,333111,1025887293.08666,FY0
ESCO.NS,Railway Equipment,237990,,FY0
ESCO.NS,Construction Equipment,333120,,FY0
ESCO.NS,Segment Total,SEGMTL,,FY0
ESCO.NS,Intersegment,ICELIM,,FY0
ESCO.NS,Unallocated,EXPOTH,,FY0
ESCO.NS,Consolidated Total,CONSTL,,FY0
EPLI.NS,Plastic Packaging Material,322219,449622687.439143,FY0
EPLI.NS,Segment Total,SEGMTL,,FY0
EPLI.NS,Consolidated Total,CONSTL,,FY0
EIHO.NS,Hotel,721110,245716528.72444,FY0
EIHO.NS,Segment Total,SEGMTL,,FY0
EIHO.NS,Consolidated Total,CONSTL,,FY0
EIDP.NS,Sugar,311314,4289654333.00876,FY0
EIDP.NS,Distillery,"312140,325193",,FY0
EIDP.NS,Nutrient and allied business,111930,,FY0
EIDP.NS,Crop Protection,325320,,FY0
EIDP.NS,Nutraceuticals,"111998,325411",,FY0
EIDP.NS,Segment Total,SEGMTL,,FY0
EIDP.NS,Intersegmental Revenue,ICELIM,,FY0
EIDP.NS,Others,EXPOTH,,FY0
EIDP.NS,Cogeneration,EXPOTH,,FY0
EIDP.NS,Consolidated Total,CONSTL,,FY0
FED.NS,,,,FY0
FNXC.NS,Electrical Cables,"332618,335931",545412609.542356,FY0
FNXC.NS,Communication Cables,"332618,335929,335932",,FY0
FNXC.NS,Copper Rod,332618,,FY0
FNXC.NS,Segment Total,SEGMTL,,FY0
FNXC.NS,Other,EXPOTH,,FY0
FNXC.NS,Intersegment Revenue,EXPOTH,,FY0
FNXC.NS,Consolidated Total,CONSTL,,FY0
SUN.NS,Pharmaceuticals,OTHERS,5341489776.04674,FY0
SUN.NS,Segment Total,SEGMTL,,FY0
SUN.NS,Consolidated Total,CONSTL,,FY0
FAUF.PSX,Fertilizer,"325311,325312,325314",555730201.193898,FY0
FAUF.PSX,Power,"221118,221122",,FY0
FAUF.PSX,Food,"311999,424910",,FY0
FAUF.PSX,Olive Technical Services,"541330,541511",,FY0
FAUF.PSX,Segment Total,SEGMTL,,FY0
FAUF.PSX,consolidated adjustments/eliminations,ICELIM,,FY0
FAUF.PSX,Consolidated Total,CONSTL,,FY0
FIIN.NS,Automotive,336390,224934262.4148,FY0
FIIN.NS,LED Luminaries,335139,,FY0
FIIN.NS,Segment Total,SEGMTL,,FY0
FIIN.NS,Consolidated Total,CONSTL,,FY0
FINX.NS,PVC,326122,535181353.45667,FY0
FINX.NS,PVC Pipes and Fittings,326122,,FY0
FINX.NS,Segment Total,SEGMTL,,FY0
FINX.NS,Eliminations,ICELIM,,FY0
FINX.NS,Consolidated Total,CONSTL,,FY0
GETD.NS,Electricity transmission,OTHERS,337538948.393379,FY0
GETD.NS,Segment Total,SEGMTL,,FY0
GETD.NS,Consolidated Total,CONSTL,,FY0
GDFR.NS,Cigarette Tobacco and related products,312230,518479418.208374,FY0
GDFR.NS,Retail and related products,445110,,FY0
GDFR.NS,Segment Total,SEGMTL,,FY0
GDFR.NS,Others,EXPOTH,,FY0
GDFR.NS,Consolidated Total,CONSTL,,FY0
GESC.NS,Shipping,483111,692607108.081792,FY0
GESC.NS,Offshore,483111,,FY0
