,Instrument,TRBC Activity Code,Return On Equity - Actual,"Return on Average Common Equity - %, TTM",year
254,TTEK.OQ,5220301010,23.14,21.141920418168,FY0
255,PNW.N,5910101010,8.1,7.48417775652001,FY0
256,ENELAM.SN,5910101010,2.35,-0.342344554963129,FY0
257,RDUS.OQ,5120102013,2.56,-2.75830366794672,FY0
258,CEPU.BA,5910102010,7.5,7.49893192698115,FY0
259,HAIN.OQ,5410202026,4.27,-11.0930833025951,FY0
260,MTL.TO,5240503010,17.03,17.0369284357494,FY0
261,VBBR3.SA,5010203012,12.33,12.3349785321616,FY0
262,MLM.N,5120201010,11.31,12.4954398867633,FY0
263,MED.N,5410202025,85.599,80.313718470119,FY0
264,CFV.CN,5510202011,15.8,15.83243959441,FY0
265,STN.TO,5220102010,1.379,11.521328451151,FY0
266,EXP.N,5120201012,39.799,39.8007976716611,FY0
267,VET.TO,5010201010,48.03,48.0341410406747,FY0
268,GRUMAB.MX,5410202010,22.309,22.3603629117789,FY0
269,CIX.TO,5510202010,36.9,18.7448409899296,FY0
270,GEO.N,5220304010,16.059,13.2984599616636,FY0
271,AGUASA.SN,5910301010,10.14,10.1403187534674,FY0
272,PAMP.BA,5910101010,20.4,22.5441867221926,FY0
273,DAR.N,5410202010,18.379,20.8093587812552,FY0
274,GMEXICOB.MX,5120108010,19.67,18.9505041791602,FY0
275,RS.N,5120102014,28.039,27.9355392101048,FY0
276,SCCO.N,5120105010,32.51,32.5070533591238,FY0
278,MINSURI1.LM,5120108010,35.88,35.8817859655542,FY0
279,LUN.TO,5120108010,10.369,9.17349053344631,FY0
280,HBM.TO,5120105012,1.73,4.61727650750155,FY0
281,CYRE3.SA,6010101050,12.15,12.1455313579878,FY0
282,EAF.N,5210203010,210.27,212.098571930981,FY0
283,BESALCO.SN,5220102012,17.26,17.2604250994544,FY0
284,HEO.TO,5220301011,5.26,-1.32141746493808,FY0
285,AEIS.OQ,5210203010,25.28,20.842819074522,FY0
286,PARAUCO.SN,6010101030,12.38,9.09231046364565,FY0
287,ANTARCHILE.SN,5010203010,12.96,12.9553945715027,FY0
288,ENDISPC1.LM,5910101010,15.51,16.33700035945,FY0
289,ALICORC1.LM,5440101010,16.789,17.6892993106203,FY0
290,PBH.TO,5410202010,11.99,8.92692854554072,FY0
291,CCB.CN,5120201012,1.439,1.41617608966816,FY0
292,HUBG.OQ,5240503010,24.28,24.2828706670531,FY0
293,POR.N,5910101010,8.929,8.49434925264309,FY0
294,BDGI.TO,5220102010,8.23,8.22647314139729,FY0
295,CENX.OQ,5120103011,6.24,-3.43776667073022,FY0
296,IMI.CN,5430102012,5.6,1.40453089941043,FY0
297,NCH.CN,5410202010,8.97,8.97262065789904,FY0
298,CASS.OQ,5220304027,17.0,15.440046182123,FY0
299,HAYN.OQ,5120102013,10.529,10.3666036067631,FY0
300,SRCL.OQ,5220301012,7.82,2.32418186723111,FY0
301,KKR.N,5510202011,19.56,-5.32929145772192,FY0
302,ARA.MX,6010101010,4.509,4.50594553173132,FY0
303,UNFI.N,5430102010,7.7,1.35861873761676,FY0
304,STLD.OQ,5120102010,58.189,53.5181785269385,FY0
305,BDT.TO,5220102010,19.3,19.3089320704157,FY0
306,OGE.N,5910101010,15.72,15.7195650377227,FY0
307,SBSP3.SA,5910301010,11.939,11.943915009764,FY0
308,EEFT.OQ,5220304027,26.53,18.4790469363984,FY0
309,NPI.TO,5910102012,23.16,24.2208859894001,FY0
310,BX.N,5510202011,44.8,20.4654962958765,FY0
311,AWK.N,5910301011,10.73,10.9398972716963,FY0
312,ENGI4.SA,5910101010,18.17,22.4112523648081,FY0
313,SOL.N,5220102021,1.399,-1.24363369765832,FY0
314,CVI.N,5010203011,112.0,85.4243542435424,FY0
315,PRIM.N,5220102010,12.679,12.6753483860302,FY0
316,HBOR3.SA,6010101010,3.77,3.77419445458887,FY0
317,ENEV3.SA,5910101012,3.48,3.31394450531502,FY0
318,TGH.N,5220304018,16.679,18.224710098337,FY0
319,FOR.N,5220102019,13.0,13.0024929884699,FY0
320,TNK.N,5010303010,22.75,24.0079479443183,FY0
321,IPI.N,5110102010,11.66,10.4782002798733,FY0
322,FRES.L,5120108010,7.089,7.4453011457648,FY0
323,MYRG.OQ,5220102014,15.449,15.4509117929921,FY0
324,AD_u.TO,5510202016,14.65,15.4910693646073,FY0
326,KRO.N,5110101010,11.439,11.4370143373098,FY0
327,SFL.N,5010303010,19.559,19.5574948952477,FY0
328,CENCOSUD.SN,5430102012,8.64,8.63814105206732,FY0
329,BGS.N,5410202010,8.439,-1.0143031279006,FY0
330,HEP.N,5010303013,33.35,33.2848002104384,FY0
331,CSMG3.SA,5910301011,12.039,12.0355872129895,FY0
332,ENS.N,5210203011,14.289,11.3805697211207,FY0
333,CNS.N,5510202011,61.49,57.7126111580684,FY0
334,ORA.N,5910101020,4.95,3.53739486430074,FY0
336,ULH.OQ,5240503012,28.19,45.0201564460581,FY0
337,WEX.N,5220304027,35.03,11.5493970391189,FY0
338,EXLS.OQ,5220304010,28.05,19.701585092346,FY0
339,MDIA3.SA,5410202014,7.009,7.01315310978983,FY0
340,BEEF3.SA,5410202016,112.409,112.412755316941,FY0
341,HTGC.N,5510202015,13.6,7.37105379102482,FY0
342,SPWR.OQ,5020101013,12.03,21.2528549478842,FY0
343,MULT3.SA,6010101030,11.89,11.8870658052405,FY0
344,CSAN3.SA,5010203010,9.14,6.64535539591566,FY0
345,ACM.N,5220102010,22.16,4.86612670628575,FY0
346,CF.N,5110102011,81.09,81.0463848855516,FY0
347,DK.N,5010203011,38.71,27.9791054521711,FY0
348,TGMA3.SA,5240503012,22.019,22.0185870291646,FY0
349,THS.N,5410202010,3.74,-0.91156154455894,FY0
350,AMP.N,5510202010,57.02,52.5246305418719,FY0
351,ET.N,5010303012,11.77,16.5817791904415,FY0
352,DHT.N,5010303014,5.82,5.81528620575734,FY0
353,CLMT.OQ,5010203011,35.07,,FY0
354,SK.SN,5440101010,15.57,15.5742382820267,FY0
355,ENGIEC1.LM,5910101010,5.56,5.56037530613003,FY0
356,AGRO3.SA,5410201011,13.269,12.1697003754654,FY0
357,PASAB.MX,5220301012,2.733,8.50203436848264,FY0
358,JBSS3.SA,5410202016,34.17,34.1747625875633,FY0
359,EQTL3.SA,5910101010,9.359,9.35583656563473,FY0
360,EVEN3.SA,6010101050,5.589,5.68904792387034,FY0
361,CODI.N,5560101010,14.1,-0.006825522579072,FY0
362,TAEE11.SA,5910101010,21.87,21.8663090921381,FY0
363,MRFG3.SA,5410202016,89.89,88.1697477964072,FY0
364,WSP.TO,5220102010,12.98,8.09334145541446,FY0
365,G.N,5220304010,27.679,18.9834208499953,FY0
366,DXT.TO,5220304010,1.899,1.16142761207032,FY0
367,CLNE.OQ,5010203010,1.52,-8.00684903027738,FY0
368,TCSA3.SA,6010101010,0.18,0.177090579713215,FY0
369,WU.N,5220304027,164.31,218.52651787857,FY0
370,BDI.TO,6010101010,10.5,10.4909480581964,FY0
371,SAR.N,5510202010,7.023,7.02274337256559,FY0
372,CSIQ.OQ,5020101013,12.82,12.8231805621684,FY0
373,SPRO.NFF,5220304018,28.622,,FY0
374,NWC.TO,5430102012,22.199,20.4869657360151,FY0
375,SMTO3.SA,5410202022,18.09,18.0885615506232,FY0
376,CQP.A,5010303010,137.61,175.359775359775,FY0
377,JHSF3.SA,6010101030,13.9,14.0312676058746,FY0
378,TIPT.OQ,5560101010,1.89,-2.12067116140963,FY0
379,FLNG.OL,5010303014,16.78,20.9345290810848,FY0
380,SLCE3.SA,5410201010,31.2,31.2045787891863,FY0
381,EZTC3.SA,6010101050,7.419,7.41924575293325,FY0
383,ISA.CN,5910101010,13.359,13.4305046183993,FY0
